Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-1.2244E-08,1.2927E-08,-0.021795,0,0,0,1.5,0.002302,-4.563E-10,-1.0633E-10,0.002302,3.0883E-10,0.0042233,0,0,0,0,0,0,package://Spider_Assembly/meshes/base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/base.STL,,Spider_Body_Assemnly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
coxa1,-0.00022139,-0.033151,0.035215,0,0,0,0.18,9.5514E-05,-6.019E-07,1.386E-06,9.9667E-05,2.1577E-05,4.9443E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa1.STL,,Spider_Coxa_Assemnly-1,Origin_base_to_coxa1,Axis_base_to_coxa1,base_to_coxa1,revolute,0,0.1,-0.0229,1.5708,0,3.129,base,0,1,0,100,10,-60,60,,,,,,,,
femur1,-0.05,-0.003191,-0.0009176,0,0,0,0.06,4.8285E-05,-1.8635E-11,-1.9862E-09,0.00012448,2.4871E-07,8.6552E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur1.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur1.STL,,Spider_Fimur_Assemnly-1,Origin_coxa1_to_femur1,Axis_coxa1_to_femur1,coxa1_to_femur1,revolute,0,-0.055226,0.076324,1.5708,1.5364,1.5708,coxa1,0,0,1,100,10,-90,120,,,,,,,,
tibia1,0.00042461,-0.025874,0.026923,0,0,0,0.11,0.00014528,-2.5855E-06,1.211E-06,6.4147E-05,5.5951E-05,0.00011569,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia1.STL,,Spider_Tibia_Assemnly-1,Origin_femur1_to_tibia1,Axis_femur1_to_tibia1,femur1_to_tibia1,revolute,-0.1,0,0,2.7369,-1.5708,0,femur1,1,0,0,100,10,-120,60,,,,,,,,
coxa2,-0.00022142,-0.033151,0.035215,0,0,0,0.18,9.5515E-05,-6.02E-07,1.3865E-06,9.9669E-05,2.1577E-05,4.9443E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa2.STL,,Spider_Coxa_Assemnly-2,Origin_base_to_coxa2,Axis_base_to_coxa2,base_to_coxa2,revolute,-0.086603,0.050001,-0.0229,1.5708,0,-2.1406,base,0,1,0,100,10,-60,60,,,,,,,,
femur2,-0.05,-0.0031911,-0.0009176,0,0,0,0.06,4.8285E-05,-1.6861E-11,-1.7643E-09,0.00012448,2.4871E-07,8.6552E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur2.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur2.STL,,Spider_Fimur_Assemnly-2,Origin_coxa2_to_femur2,Axis_coxa2_to_femur2,coxa2_to_femur2,revolute,0,-0.055226,0.076324,1.5708,1.5364,1.5708,coxa2,0,0,1,100,10,-90,120,,,,,,,,
tibia2,0.00042461,-0.025875,0.026923,0,0,0,0.11,0.00014528,-2.5865E-06,1.2112E-06,6.4147E-05,5.5952E-05,0.00011569,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia2.STL,,Spider_Tibia_Assemnly-2,Origin_femur2_to_tibia2,Axis_femur2_to_tibia2,femur2_to_tibia2,revolute,-0.1,0,0,2.7369,-1.5708,0,femur2,1,0,0,100,10,-120,60,,,,,,,,
coxa3,-0.00022142,-0.033151,0.035215,0,0,0,0.18,9.5521E-05,-6.0189E-07,1.3863E-06,9.9672E-05,2.158E-05,4.9446E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa3.STL,,Spider_Coxa_Assemnly-3,Origin_base_to_coxa3,Axis_base_to_coxa3,base_to_coxa3,revolute,-0.086604,-0.049999,-0.0229,1.5708,0,-1.0118,base,0,1,0,100,0,-60,60,,,,,,,,
femur3,-0.05,-0.0031893,-0.00091762,0,0,0,0.06,4.8285E-05,1.3821E-10,-1.8768E-09,0.00012448,2.488E-07,8.6552E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur3.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur3.STL,,Spider_Fimur_Assemnly-3,Origin_coxa3_to_femur3,Axis_coxa3_to_femur3,coxa3_to_femur3,revolute,0,-0.055226,0.076324,1.5708,1.5364,1.5708,coxa3,0,0,1,100,10,-90,120,,,,,,,,
tibia3,0.0004246,-0.025875,0.026923,0,0,0,0.11,0.00014528,-2.5855E-06,1.2111E-06,6.4147E-05,5.5951E-05,0.00011569,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia3.STL,,Spider_Tibia_Assemnly-3,Origin_femur3_to_tibia3,Axis_femur3_to_tibia3,femur3_to_tibia3,revolute,-0.1,0,0,2.7369,-1.5708,0,femur3,1,0,0,100,10,-120,60,,,,,,,,
coxa4,-0.00022339,-0.033151,0.035215,0,0,0,0.18,9.5519E-05,-6.019E-07,1.3861E-06,9.967E-05,2.1579E-05,4.9446E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa4.STL,,Spider_Coxa_Assemnly-4,Origin_base_to_coxa4,Axis_base_to_coxa4,base_to_coxa4,revolute,0,-0.1,-0.0229,1.5708,0,0.031505,base,0,1,0,100,10,-60,60,,,,,,,,
femur4,-0.05,-0.003191,-0.0009196,0,0,0,0.06,4.8285E-05,-1.8187E-11,-1.9861E-09,0.00012448,2.4871E-07,8.6552E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur4.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur4.STL,,Spider_Fimur_Assemnly-4,Origin_coxa4_to_femur4,Axis_coxa4_to_femur4,coxa4_to_femur4,revolute,0,-0.055226,0.076324,1.5708,1.5364,1.5708,coxa4,0,0,1,100,10,-90,120,,,,,,,,
tibia4,0.00042261,-0.025874,0.026923,0,0,0,0.11,0.00014528,-2.5855E-06,1.211E-06,6.4147E-05,5.5951E-05,0.00011569,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia4.STL,,Spider_Tibia_Assemnly-4,Origin_femur4_to_tibia4,Axis_femur4_to_tibia4,femur4_to_tibia4,revolute,-0.1,0,0,2.7369,-1.5708,0,femur4,1,0,0,100,10,-120,60,,,,,,,,
coxa5,-0.00022142,-0.033151,0.035215,0,0,0,0.18,9.5515E-05,-6.02E-07,1.3865E-06,9.9669E-05,2.1577E-05,4.9443E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa5.STL,,Spider_Coxa_Assemnly-5,Origin_base_to_coxa5,Axis_base_to_coxa5,base_to_coxa5,revolute,0.086601,-0.050001,-0.0229,1.5708,0,1.0328,base,0,1,0,100,10,-60,60,,,,,,,,
femur5,-0.05,-0.0031911,-0.0009176,0,0,0,0.06,4.8285E-05,-1.6866E-11,-1.7643E-09,0.00012448,2.4871E-07,8.6552E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur5.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur5.STL,,Spider_Fimur_Assemnly-5,Origin_coxa5_to_femur5,Axis_coxa5_to_femur5,coxa5_to_femur5,revolute,0,-0.055226,0.076324,1.5708,1.5364,1.5708,coxa5,0,0,1,100,10,-90,120,,,,,,,,
tibia5,0.00042461,-0.025875,0.026923,0,0,0,0.11,0.00014528,-2.5865E-06,1.2112E-06,6.4147E-05,5.5952E-05,0.00011569,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia5.STL,,Spider_Tibia_Assemnly-5,Origin_femur5_to_tibia5,Axis_femur5_to_tibia5,femur5_to_tibia5,revolute,-0.1,0,0,2.7369,-1.5708,0,femur5,1,0,0,100,10,-120,60,,,,,,,,
coxa6,-0.00022142,-0.033151,0.035215,0,0,0,0.18,9.5521E-05,-6.0189E-07,1.3863E-06,9.9672E-05,2.158E-05,4.9446E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/coxa6.STL,,Spider_Coxa_Assemnly-6,Origin_base_to_coxa6,Axis_base_to_coxa6,base_to_coxa6,revolute,0.086602,0.049999,-0.0229,1.5708,0,2.1604,base,0,1,0,100,10,-60,60,,,,,,,,
femur6,-0.05,-0.0031893,-0.00091762,0,0,0,0.06,4.8285E-05,1.382E-10,-1.8768E-09,0.00012448,2.488E-07,8.6552E-05,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur6.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/femur6.STL,,Spider_Fimur_Assemnly-6,Origin_coxa6_to_femur6,Axis_coxa6_to_femur6,coxa6_to_femur6,revolute,0,-0.055226,0.076324,1.5708,1.5364,1.5708,coxa6,0,0,1,100,10,-90,120,,,,,,,,
tibia6,0.0004246,-0.025875,0.026923,0,0,0,0.11,0.00014528,-2.5855E-06,1.2111E-06,6.4147E-05,5.5951E-05,0.00011569,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly/meshes/tibia6.STL,,Spider_Tibia_Assemnly-6,Origin_femur6_to_tibia6,Axis_femur6_to_tibia6,femur6_to_tibia6,revolute,-0.1,0,0,2.7369,-1.5708,0,femur6,1,0,0,100,10,-120,60,,,,,,,,
