Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-1.2244E-08,1.2927E-08,-0.021795,0,0,0,1.5,0.002302,-4.563E-10,-1.0633E-10,0.002302,3.0883E-10,0.0042233,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/base.STL,,Spider_Body_Assemnly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
coxa1,0.00066313,0.03521,-0.033151,0,0,0,0.18,9.5472E-05,-1.9634E-06,8.7252E-07,4.9485E-05,2.1567E-05,9.9667E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa1.STL,,Spider_Coxa_Assemnly-1,Origin_base_to_coxa1,Axis_base_to_coxa1,base_to_coxa1,revolute,0,0.1,-0.0229,0,0,0,base,0,0,1,10,10,-1.0472,1.0472,,,,,,,,
femur1,-0.0009176,-0.049861,-0.0049066,0,0,0,0.06,8.6552E-05,-1.0528E-08,2.4849E-07,4.8375E-05,-2.6157E-06,0.00012439,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/femur1.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/femur1.STL,,Spider_Fimur_Assemnly-1,Origin_coxa1_to_femur1,Axis_coxa1_to_femur1,coxa1_to_femur1,revolute,0.00095743,0.076318,-0.055226,0,0,3.129,coxa1,1,0,0,100,10,-1.5708,2.0944,,,,,,,,
tibia1,0.00042461,-0.013369,-0.034865,0,0,0,0.11,0.00014528,3.0075E-09,-2.855E-06,0.00014943,-1.5895E-05,3.0404E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/tibia1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/tibia1.STL,,Spider_Tibia_Assemnly-1,Origin_femur1_to_tibia1,Axis_femur1_to_tibia1,femur1_to_tibia1,revolute,0,-0.099941,-0.0034349,0,0,0,femur1,1,0,0,100,10,-2.0944,1.0472,,,,,,,,
coxa2,-0.029531,0.019185,-0.033151,0,0,0,0.18,6.4112E-05,2.1508E-05,-1.7843E-05,8.0846E-05,1.2147E-05,9.9669E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa2.STL,,Spider_Coxa_Assemnly-2,Origin_base_to_coxa2,Axis_base_to_coxa2,base_to_coxa2,revolute,-0.0866030403784432,0.0500008660254048,-0.0228999999999395,0,0,0,base,0,0,1,10,10,-1.0472,1.0472,,,,,,,,
femur2,-0.0009176,-0.049861,-0.0049067,0,0,0,0.06,8.6552E-05,-1.0306E-08,2.485E-07,4.8375E-05,-2.6157E-06,0.00012439,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/femur2.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/femur2.STL,,Spider_Fimur_Assemnly-2,Origin_coxa2_to_femur2,Axis_coxa2_to_femur2,coxa2_to_femur2,revolute,-0.064264,0.041176,-0.055226,0,0,-2.1406,coxa2,1,0,0,100,10,-1.5708,2.0944,,,,,,,,
tibia2,0.00042461,-0.013369,-0.034865,0,0,0,0.11,0.00014528,3.2722E-09,-2.856E-06,0.00014944,-1.5895E-05,3.0403E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/tibia2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/tibia2.STL,,Spider_Tibia_Assemnly-2,Origin_femur2_to_tibia2,Axis_femur2_to_tibia2,femur2_to_tibia2,revolute,0,-0.099941,-0.0034349,0,0,0,femur2,1,0,0,100,10,-2.0944,1.0472,,,,,,,,
coxa3,-0.029972,-0.01849,-0.033151,0,0,0,0.18,6.116E-05,-2.011E-05,-1.8614E-05,8.3807E-05,-1.0935E-05,9.9672E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa3.STL,,Spider_Coxa_Assemnly-3,Origin_base_to_coxa3,Axis_base_to_coxa3,base_to_coxa3,revolute,-0.0866040403784443,-0.0499991339745954,-0.0228999999999395,0,0,0,base,0,0,1,10,10,-1.0472,1.0472,,,,,,,,
femur3,-0.00091762,-0.049861,-0.0049049,0,0,0,0.06,8.6552E-05,-1.0422E-08,2.4858E-07,4.8375E-05,-2.6155E-06,0.00012439,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/femur3.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/femur3.STL,,Spider_Fimur_Assemnly-3,Origin_coxa3_to_femur3,Axis_coxa3_to_femur3,coxa3_to_femur3,revolute,-0.064704,-0.04048,-0.055226,0,0,-1.0118,coxa3,1,0,0,100,10,-1.5708,2.0944,,,,,,,,
tibia3,0.0004246,-0.013369,-0.034865,0,0,0,0.11,0.00014528,2.9252E-09,-2.8551E-06,0.00014943,-1.5895E-05,3.0403E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/tibia3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/tibia3.STL,,Spider_Tibia_Assemnly-3,Origin_femur3_to_tibia3,Axis_femur3_to_tibia3,femur3_to_tibia3,revolute,0,-0.099941,-0.0034349,0,0,0,femur3,1,0,0,100,10,-2.0944,1.0472,,,,,,,,
coxa4,0.00088599,-0.035205,-0.033151,0,0,0,0.18,9.5561E-05,6.7233E-08,7.8148E-08,4.9405E-05,-2.1588E-05,9.967E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa4.STL,,Spider_Coxa_Assemnly-4,Origin_base_to_coxa4,Axis_base_to_coxa4,base_to_coxa4,revolute,0,-0.1,-0.0228999999999395,0,0,0,base,0,0,1,10,10,-1.0472,1.0472,,,,,,,,
femur4,0.00065147,-0.049865,-0.0049066,0,0,0,0.06,8.6515E-05,1.1915E-06,3.3076E-07,4.8412E-05,-2.6066E-06,0.00012439,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/femur4.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/femur4.STL,,Spider_Fimur_Assemnly-4,Origin_coxa4_to_femur4,Axis_coxa4_to_femur4,coxa4_to_femur4,revolute,0.0024042,-0.076286,-0.055226,0,0,0,coxa4,0.9995,0.0315,0,100,10,-1.5708,2.0944,,,,,,,,
tibia4,0.00042261,-0.013369,-0.034865,0,0,0,0.11,0.00014528,3.0099E-09,-2.855E-06,0.00014943,-1.5895E-05,3.0404E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/tibia4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/tibia4.STL,,Spider_Tibia_Assemnly-4,Origin_femur4_to_tibia4,Axis_femur4_to_tibia4,femur4_to_tibia4,revolute,0.0031481,-0.099891,-0.0034349,0,0,0.031505,femur4,1,0,0,100,10,-2.0944,1.0472,,,,,,,,
coxa5,0.030128,-0.018234,-0.033151,0,0,0,0.18,6.276E-05,2.0931E-05,1.8221E-05,8.2199E-05,-1.1573E-05,9.9669E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa5.STL,,Spider_Coxa_Assemnly-5,Origin_base_to_coxa5,Axis_base_to_coxa5,base_to_coxa5,revolute,0.0866010403784438,-0.0500008660254042,-0.0228999999999395,0,0,0,base,0,0,1,10,10,-1.0472,1.0472,,,,,,,,
femur5,-0.0009176,-0.049861,-0.0049067,0,0,0,0.06,8.6552E-05,-1.0306E-08,2.485E-07,4.8375E-05,-2.6157E-06,0.00012439,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/femur5.STL,1,0.67059,0,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/femur5.STL,,Spider_Fimur_Assemnly-5,Origin_coxa5_to_femur5,Axis_coxa5_to_femur5,coxa5_to_femur5,revolute,0.065543,-0.039107,-0.055226,0,0,1.0328,coxa5,1,0,0,100,10,-1.5708,2.0944,,,,,,,,
tibia5,0.00042461,-0.013369,-0.034865,0,0,0,0.11,0.00014528,3.2734E-09,-2.856E-06,0.00014944,-1.5895E-05,3.0403E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/tibia5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/tibia5.STL,,Spider_Tibia_Assemnly-5,Origin_femur5_to_tibia5,Axis_femur5_to_tibia5,femur5_to_tibia5,revolute,0,-0.099941,-0.0034349,0,0,0,femur5,1,0,0,100,10,-2.0944,1.0472,,,,,,,,
coxa6,0.029393,0.019396,-0.033151,0,0,0,0.18,6.2409E-05,-2.0764E-05,1.8271E-05,8.2559E-05,1.1498E-05,9.9672E-05,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spider_Assembly_2/meshes/coxa6.STL,,Spider_Coxa_Assemnly-6,Origin_base_to_coxa6,Axis_base_to_coxa6,base_to_coxa6,revolute,0.0866020403784441,0.0499991339745961,-0.0228999999999395,0,0,0,base,0,0,1,10,10,-1.0472,1.0472,,,,,,,,
