Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-1.22435242071434E-08,1.29268984662366E-08,-0.0217952958440533,0,0,0,0.817408228215822,0.00230197028141126,-4.56303857205726E-10,-1.06328602463094E-10,0.00230197074252748,3.08830337299883E-10,0.00422334016271356,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/base.STL,,Spider_Body_Assemnly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
coxa1,0.000663125550137124,0.0352095696133616,-0.0331510755247654,0,0,0,0.0717810632197289,9.54721414368578E-05,-1.96343342013829E-06,8.72518066391113E-07,4.94854892918883E-05,2.15672557754048E-05,9.96673239080943E-05,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/coxa1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/coxa1.STL,,Spider_Coxa_Assemnly-1,Origin_base_to_coxa1,Axis_base_to_coxa1,base_to_coxa1,revolute,0,0.1,-0.0229,0,0,0,base,0,0,1,10,10,-1.0472,1.0472,,,0.05,0.25,,,,
femur1,-0.000917603435917809,-0.0498608310858832,-0.0049065700001156,0,0,0,0.0522785969282586,8.65523504380243E-05,-1.0527935444905E-08,2.48492567942036E-07,4.83751696498516E-05,-2.61567633338843E-06,0.00012438896950017,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/femur1.STL,1,0.670588235294118,0,1,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/femur1.STL,,Spider_Fimur_Assemnly-1,Origin_coxa1_to_femur1,Axis_coxa1_to_femur1,coxa1_to_femur1,revolute,0.00095743,0.076318,-0.055226,0,0,3.129,coxa1,1,0,0,10,10,-1.5708,2.0944,,,0.05,0.25,,,,
tibia1,0.000424609019419149,-0.0133692193145053,-0.0348652572400883,0,0,0,0.0673504797309433,0.000145280853138724,3.00749338857959E-09,-2.85504977328421E-06,0.000149431401706523,-1.58953704257949E-05,3.04035426474145E-05,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/tibia1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/tibia1.STL,,Spider_Tibia_Assemnly-1,Origin_femur1_to_tibia1,Axis_femur1_to_tibia1,femur1_to_tibia1,revolute,0,-0.099941,-0.0034349,0,0,0,femur1,1,0,0,10,10,-2.0944,1.0472,,,0.05,0.25,,,,
coxa2,-0.0295313336740724,0.0191847119939432,-0.0331510170996581,0,0,0,0.071780991789367,6.4112367466337E-05,2.15075229763735E-05,-1.78427187091979E-05,8.08464269442093E-05,1.21474093700425E-05,9.96688709454487E-05,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/coxa2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/coxa2.STL,,Spider_Coxa_Assemnly-2,Origin_base_to_coxa2,Axis_base_to_coxa2,base_to_coxa2,revolute,-0.086603,0.050001,-0.0229,0,0,0,base,0,0,1,10,10,-1.0472,1.0472,,,0.05,0.25,,,,
femur2,-0.000917601723217612,-0.04986082681697,-0.0049067057528593,0,0,0,0.0522786375653612,8.65516328648969E-05,-1.03061169099872E-08,2.48498246144906E-07,4.83749901232328E-05,-2.61566070132584E-06,0.000124388387364279,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/femur2.STL,1,0.670588235294118,0,1,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/femur2.STL,,Spider_Fimur_Assemnly-2,Origin_coxa2_to_femur2,Axis_coxa2_to_femur2,coxa2_to_femur2,revolute,-0.064264,0.041176,-0.055226,0,0,-2.1406,coxa2,1,0,0,10,10,-1.5708,2.0944,,,0.05,0.25,,,,
tibia2,0.000424608066344067,-0.0133692943007324,-0.0348653690511171,0,0,0,0.0673506781396636,0.000145284456530183,3.27217246581082E-09,-2.85599081322928E-06,0.000149435037639596,-1.58945091184874E-05,3.04033461801385E-05,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/tibia2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/tibia2.STL,,Spider_Tibia_Assemnly-2,Origin_femur2_to_tibia2,Axis_femur2_to_tibia2,femur2_to_tibia2,revolute,0,-0.099941,-0.0034349,0,0,0,femur2,1,0,0,10,10,-2.0944,1.0472,,,0.05,0.25,,,,
coxa3,-0.0299717517447422,-0.0184895942763824,-0.0331511392825303,0,0,0,0.0717813202049348,6.11604235897214E-05,-2.01103261368796E-05,-1.86139570621771E-05,8.38070975445871E-05,-1.09352026743526E-05,9.9671952952357E-05,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/coxa3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/coxa3.STL,,Spider_Coxa_Assemnly-3,Origin_base_to_coxa3,Axis_base_to_coxa3,base_to_coxa3,revolute,-0.0866040403784443,-0.0499991339745954,-0.0228999999999395,0,0,0,base,0,0,1,10,10,-1.0472,1.0472,,,0.05,0.25,,,,
femur3,-0.000917624736773951,-0.0498609692373612,-0.00490492650315436,0,0,0,0.0522820610067508,8.65519908796291E-05,-1.04216746668293E-08,2.48584984480636E-07,4.83750692018178E-05,-2.61551293926364E-06,0.000124388689430314,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/femur3.STL,1,0.670588235294118,0,1,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/femur3.STL,,Spider_Fimur_Assemnly-3,Origin_coxa3_to_femur3,Axis_coxa3_to_femur3,coxa3_to_femur3,revolute,-0.0647043722150724,-0.0404800288990548,-0.0552258257090417,0,0,-1.01175485233089,coxa3,1,0,0,10,10,-1.5708,2.0944,,,0.05,0.25,,,,
tibia3,0.000424599847309087,-0.0133693131195964,-0.0348654064168618,0,0,0,0.0673507283513013,0.000145282595149621,2.92515059280337E-09,-2.85511357106338E-06,0.000149433307274564,-1.58950452871018E-05,3.04032763887969E-05,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/tibia3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spider_Assembly_coarseMesh/meshes/tibia3.STL,,Spider_Tibia_Assemnly-3,Origin_femur3_to_tibia3,Axis_femur3_to_tibia3,femur3_to_tibia3,revolute,0,-0.099940988627306,-0.00343493700040796,0,0,0,femur3,1,0,0,10,10,-2.0944,1.0472,,,0.05,0.25,,,,
